Hour,Real,Predicted,Residuals
6746.0,104.08999902382493,104.58481661975384,0.4948175959289074
6747.0,103.12000181525946,107.41084988415241,4.290848068892956
6748.0,105.00000295042992,109.51159152388573,4.5115885734558105
6749.0,101.10000007599592,110.15230453759432,9.052304461598396
6750.0,104.1000011600554,122.75429291278124,18.65429175272584
6751.0,103.30000119656324,128.0155240148306,24.715522818267345
6752.0,107.71999794244766,130.73294033110142,23.012942388653755
6753.0,110.76000268757343,134.77788627147675,24.017883583903313
6754.0,109.09999971091747,135.94363329559565,26.843633584678173
6755.0,109.29000122845173,136.48073042929173,27.190729200839996
6756.0,116.3300009071827,137.3336469680071,21.003646060824394
6757.0,112.86000198125839,136.45775677263737,23.597754791378975
6758.0,115.8099972680211,127.69402956962585,11.884032301604748
6759.0,113.08000013977289,125.78531136363745,12.705311223864555
6760.0,121.0500031337142,124.93153526633978,3.88153213262558
6761.0,115.60000124573708,125.07981888949871,9.479817643761635
6762.0,109.99999661743641,122.83290345221758,12.83290683478117
6763.0,110.3000020980835,122.58875951170921,12.288757413625717
6764.0,108.3000046312809,123.01377215981483,14.713767528533936
6765.0,108.13999975472689,118.12477876245975,9.984779007732868
6766.0,102.55999939888716,115.50156225264072,12.941562853753567
6767.0,107.20000407099724,111.74115950614214,4.541155435144901
6768.0,103.69999873638153,109.34210219979286,5.642103463411331
6769.0,104.29999992996454,107.92760087549686,3.627600945532322
6770.0,97.9000002220273,107.2560902684927,9.356090046465397
6771.0,104.35000084340572,106.5942692309618,2.244268387556076
6772.0,101.95000095292926,106.83030597120523,4.880305018275976
6773.0,106.50000105053186,109.14344649016857,2.6434454396367073
6774.0,122.0500018671155,123.38652755320072,1.3365256860852242
6775.0,128.2099991440773,129.65685112774372,1.44685198366642
6776.0,138.1400008276105,133.87265387177467,-4.267346955835819
6777.0,147.99999732524157,162.83428864181042,14.834291316568851
6778.0,157.40000300109386,170.25296294689178,12.85295994579792
6779.0,169.80000487715006,174.2615339308977,4.461529053747654
6780.0,159.8999998345971,174.86620409041643,14.96620425581932
6781.0,167.89999946951866,169.55961173772812,1.6596122682094574
6782.0,170.89999566972256,167.1162578612566,-3.7837378084659576
6783.0,164.49999596178532,164.14664901047945,-0.35334695130586624
6784.0,162.65000123530626,161.61607924103737,-1.0339219942688942
6785.0,151.09000298380852,160.0279666185379,8.937963634729385
6786.0,141.6099997535348,143.07022373378277,1.4602239802479744
6787.0,135.91999543458223,150.67504131048918,14.755045875906944
6788.0,127.09999644756317,121.36792259663343,-5.732073850929737
6789.0,117.52000115811825,120.35064478218555,2.8306436240673065
6790.0,112.70999924093485,119.27413556724787,6.564136326313019
6791.0,112.6499961912632,114.51807095110416,1.8680747598409653
6792.0,109.94999570399523,110.50963671505451,0.5596410110592842
6793.0,105.79999803006649,107.97605849057436,2.1760604605078697
6794.0,106.10000351071358,107.09439557790756,0.994392067193985
6795.0,105.29999866336584,107.75647057592869,2.456471912562847
6796.0,107.89999732375145,109.439447209239,1.5394498854875565
6797.0,111.19999900460243,110.64247758686543,-0.5575214177370071
6798.0,122.99999968707561,121.3311666995287,-1.6688329875469208
6799.0,128.09999518096447,125.15690566599369,-2.9430895149707794
6800.0,134.74999945610762,129.9503122419119,-4.799687214195728
6801.0,163.8500036224723,165.3886037170887,1.5386000946164131
6802.0,185.25000386685133,174.92939141392708,-10.320612452924252
6803.0,160.34999828785658,175.25412873923779,14.904130451381207
6804.0,176.2999966442585,175.33486863970757,-0.9651280045509338
6805.0,165.50000446289778,172.85449513792992,7.354490675032139
6806.0,151.56999807804823,175.4656192213297,23.89562114328146
6807.0,161.70999578386545,161.14873333275318,-0.5612624511122704
6808.0,149.86000395566225,158.7530947253108,8.893090769648552
6809.0,145.2400035560131,156.09126645326614,10.851262897253036
6810.0,138.29000356793404,150.94841024279594,12.658406674861908
6811.0,133.08000411093235,134.13245545327663,1.052451342344284
6812.0,127.5500046685338,119.29385657608509,-8.256148092448711
